name,year,status,type,country,genres,rating,watched_date,note
FRIENDS,1994.0,completed,series,US,"sitcom,comedy,friendship",10.0,2023,First sitcom ;)
The Big Bang Theory,2007.0,completed,series,US,"sitcom,comedy,friendship",9.0,2023,
Lighter and Princess,2022.0,completed,series,China,"romance,school",9.0,2023,
You Are the Apple of My Eye,2011.0,completed,movie,China,"romance,school",10.0,2023,
Back to seventeen,2023.0,completed,series,China,"romance,time travel",8.0,2024,
When I fly towards you,2023.0,completed,series,China,"school,romance,comedy",10.0,2023,
Flourish in time,2021.0,completed,series,China,school,8.0,2023,
Hidden love,2023.0,completed,series,China,romance,9.0,2024,
Time and Him Are Just Right,2022.0,completed,series,China,"romance,school",8.0,2024,
Lovely runner,2024.0,completed,series,Korea,"romance,comedy,time travel",10.0,2024,
Spy x Family: White code,2023.0,completed,movie,Japan,"animation,family,action,comedy",8.0,2024-06-29,
Bubble,2022.0,completed,movie,Japan,"animation,adventure",6.0,2025-09-13,
Nobody,2021.0,completed,movie,US,action,9.0,2025-04-19,
Nobody 2,2025.0,completed,movie,US,action,9.0,2025-09-10,
Your Lie in April,2014.0,completed,series,Japan,"animation,comedy,music",10.0,2024-04-02,
Twinkling Watermelon,2023.0,completed,series,Korea,"time travel,music,comedy,romance,family,school",10.0,2024-07-27,
Our Beloved Summer,2022.0,completed,series,Korea,"school,romance,comedy,school",7.0,2024-07-30,
Welcome to Samdalri,2023.0,completed,series,Korea,"romance,comedy",8.0,2024-10-03,
Moving,2023.0,completed,series,Korea,"supernatural,action,family,school,romance",10.0,2024-08-06,
Spiderman across the spiderverse,2023.0,completed,movie,US,"animation,action,sci-fi",10.0,2024-08-11,
The Witch: Part 1,2018.0,completed,movie,Korea,"supernatural,action",9.0,2024-08-11,
A shop for killers,2024.0,completed,series,Korea,"action,family",9.0,2024-08-12,
The Atypical Family,2024.0,completed,series,Korea,"family,supernatural,time travel",9.0,2024-08-22,
Daily Dose of Sunshine,2023.0,completed,series,Korea,"romance,hospital,healing",10.0,2024-08-29,
18 Again,2020.0,completed,series,Korea,"family,romance,fantasy,comedy,time travel",10.0,2024-08-31,
Weak hero class,2022.0,completed,series,Korea,"school,action,friendship",10.0,2024-09-02,
Death's Game,2023.0,completed,series,Korea,"death,fantasy",10.0,2024-09-04,
The Good Bad Mother,2023.0,completed,series,Korea,"family,romance,comedy",9.0,2024-09-06,
Law School,2021.0,completed,series,Korea,"mystery,crime,school,law",9.0,2024-09-12,
See You in My 19th Life,2023.0,completed,series,Korea,"fantasy,romance,comedy",10.0,2024-10-06,
Love next door,2024.0,dropped,series,Korea,"romance,comedy,family",,2024-10-13,
Dear Hyeri,2024.0,dropped,series,Korea,romance,,2024-10-21,
Laputa: Castle in the Sky,1986.0,completed,movie,Japan,"animation,adventure",8.0,2025-04-14,
Twister,2024.0,completed,movie,US,"action,adventure",9.0,2025-04-14,
Anyone But You,2023.0,completed,movie,US,"romance,comedy",9.0,2025-04-15,
Ghosted,2023.0,completed,movie,US,"romance,comedy,action",9.0,2025-04-16,
Blade Runner 2049,2017.0,completed,movie,US,"sci-fi,adventure,action,mystery",10.0,2025-04-17,
The Wild Robot,2024.0,completed,movie,US,"animation,adventure,family,sci-fi",10.0,2025-04-21,
Weak hero class 2,2025.0,completed,series,Korea,"school,action,friendship",9.0,2025-04-26,
Migration,2023.0,completed,movie,US,"animation,adventure,family,comedy",8.0,2025-05-14,
10 Cloverfield Lane,2016.0,completed,movie,US,"horror,sci-fi,thriller",8.0,2025-07-16,
Skycrapper,2018.0,completed,movie,US,"action,adventure",8.0,2025-07-18,
Ghost cat Anzu,2024.0,completed,movie,Japan,"animation,adventure,fantasy",8.0,2025-09-07,
Look Back,2024.0,completed,movie,Japan,animation,8.0,2025-09-07,
